Legislation Number,Title,Sponsor,Date of Introduction
H.R. 6955,To amend the Arizona Water Settlements Act to modify the requirements for the statement of findings.,"Grijalva, Raúl M. [Rep.-D-AZ-7]",10/03/2007
H.R. 6956,"To designate the facility of the United States Postal Service located at 1190 Lorena Road in Lorena, Texas, as the ""Marine Gunnery Sgt. John D. Fry Post Office Building"".","Edwards, Chet [Rep.-D-TX-17]",10/02/2007
H.R. 6957,"To designate the facility of the United States Postal Service located at 424 Clay Avenue in Waco, Texas, as the ""Army PFC Juan Alonso Covarrubias Post Office Building"".","Edwards, Chet [Rep.-D-TX-17]",10/02/2007
H.R. 6958,"To designate the United States courthouse located at 1716 Spielbusch Avenue in Toledo, Ohio, as the ""James M. Ashley and Thomas W.L. Ashley United States Courthouse."".","Kaptur, Marcy [Rep.-D-OH-9]",10/01/2007
H.R. 6959,"To amend section 5112(p)(1)(A) of title 31, United States Code, to allow an exception from the $1 coin dispensing capability requirement for certain vending machines.","Scott, David [Rep.-D-GA-13]",09/27/2007
H.R. 6960,U.S. Capitol Police and Library of Congress Police Merger Implementation Act of 2007,"Brady, Robert A. [Rep.-D-PA-1]",09/27/2007
H.R. 6961,United States-Peru Trade Promotion Agreement Implementation Act,"Hoyer, Steny H. [Rep.-D-MD-5]",09/27/2007
H.R. 6962,Internet Tax Freedom Act Amendments Act of 2007,"Conyers, John, Jr. [Rep.-D-MI-14]",09/27/2007
H.R. 6963,"TMA, Abstinence Education, and QI Programs Extension Act of 2007","Dingell, John D. [Rep.-D-MI-15]",09/26/2007
H.R. 6964,Mortgage Forgiveness Debt Relief Act of 2007,"Rangel, Charles B. [Rep.-D-NY-15]",09/25/2007
H.R. 6965,To make permanent the waiver authority of the Secretary of Education with respect to student financial assistance during a war or other military operation or national emergency.,"Sestak, Joe [Rep.-D-PA-7]",09/20/2007
H.R. 6966,Food and Drug Administration Amendments Act of 2007,"Dingell, John D. [Rep.-D-MI-15]",09/19/2007
H.R. 6967,"To designate the facility of the United States Postal Service located at 4320 Blue Parkway in Kansas City, Missouri, as the ""Wallace S. Hartsfield Post Office Building"".","Cleaver, Emanuel [Rep.-D-MO-5]",09/18/2007
H.R. 6968,"To amend the Congressional Accountability Act of 1995 to permit individuals who have served as employees of the Office of Compliance to serve as Executive Director, Deputy Executive Director, or General Counsel of the Office, and to permit individuals appointed to such positions to serve one additional term.","Brady, Robert A. [Rep.-D-PA-1]",09/18/2007
H.R. 6969,"To designate the facility of the United States Postal Service located at 16731 Santa Ana Avenue in Fontana, California, as the ""Beatrice E. Watson Post Office Building"".","Baca, Joe [Rep.-D-CA-43]",09/18/2007
H.R. 6970,Regulatory Improvement Act of 2007,"Cannon, Chris [Rep.-R-UT-3]",09/18/2007
H.R. 6971,Do-Not-Call Improvement Act of 2007,"Doyle, Michael F. [Rep.-D-PA-14]",09/17/2007
H.R. 6972,"To designate the facility of the United States Postal Service located at 5815 McLeod Street in Lula, Georgia, as the ""Private Johnathon Millican Lula Post Office"".","Deal, Nathan [Rep.-R-GA-9]",09/14/2007
H.R. 6973,"To designate the facility of the United States Postal Service located at 1400 Highway 41 North in Inverness, Florida, as the ""Chief Warrant Officer Aaron Weaver Post Office Building"".","Brown-Waite, Ginny [Rep.-R-FL-5]",09/14/2007
H.R. 6974,To provide authority to the Peace Corps to provide separation pay for host country resident personal services contractors of the Peace Corps.,"Lantos, Tom [Rep.-D-CA-12]",09/14/2007
H.R. 6975,"To ratify a conveyance of a portion of the Jicarilla Apache Reservation to Rio Arriba County, State of New Mexico, pursuant to the settlement of litigation between the Jicarilla Apache Nation and Rio Arriba County, State of New Mexico, to authorize issuance of a patent for said lands, and to change the exterior boundary of the Jicarilla Apache Reservation accordingly, and for other purposes.","Udall, Tom [Rep.-D-NM-3]",09/10/2007
H.R. 6976,"To designate the facility of the United States Postal Service located at 1430 South Highway 29 in Cantonment, Florida, as the ""Charles H. Hendrix Post Office Building"".","Miller, Jeff [Rep.-R-FL-1]",09/10/2007
H.R. 6977,"To designate the facility of the United States Postal Service located at 2150 East Hardtner Drive in Urania, Louisiana, as the ""Murphy A. Tannehill Post Office Building"".","Alexander, Rodney [Rep.-R-LA-5]",09/10/2007
H.R. 6978,Let Our Veterans Rest in Peace Act of 2008,"Carney, Christopher P. [Rep.-D-PA-10]",09/06/2007
H.R. 6979,"To designate the facility of the United States Postal Service located at 744 West Oglethorpe Highway in Hinesville, Georgia, as the ""John Sidney 'Sid' Flowers Post Office Building"".","Kingston, Jack [Rep.-R-GA-1]",09/04/2007
H.R. 6980,"To designate the facility of the United States Postal Service located at 1704 Weeksville Road in Elizabeth City, North Carolina, as the ""Dr. Clifford Bell Jones, Sr. Post Office"".","Butterfield, G. K. [Rep.-D-NC-1]",08/04/2007
H.R. 6981,"To designate the facility of the United States Postal Service located at 202 East Michigan Avenue in Marshall, Michigan, as the ""Michael W. Schragg Post Office Building"".","Walberg, Timothy [Rep.-R-MI-7]",08/03/2007
H.R. 6982,Commission on the Abolition of the Transatlantic Slave Trade Act,"Payne, Donald M. [Rep.-D-NJ-10]",08/03/2007
H.R. 6983,NET 911 Improvement Act of 2008,"Gordon, Bart [Rep.-D-TN-6]",08/03/2007
H.R. 6984,"To designate the facility of the United States Postal Service located at 200 North William Street in Goldsboro, North Carolina, as the ""Philip A. Baddour, Sr. Post Office"".","Butterfield, G. K. [Rep.-D-NC-1]",08/03/2007
H.R. 6985,To extend the trade adjustment assistance program under the Trade Act of 1974 for 3 months.,"Herger, Wally [Rep.-R-CA-2]",08/03/2007
H.R. 6986,"To designate the facility of the United States Postal Service located at 235 Mountain Road in Suffield, Connecticut, as the ""Corporal Stephen R. Bixler Post Office"".","Courtney, Joe [Rep.-D-CT-2]",08/02/2007
H.R. 6987,To provide that the great hall of the Capitol Visitor Center shall be known as Emancipation Hall.,"Wamp, Zach [Rep.-R-TN-3]",08/02/2007
H.R. 6988,"To authorize additional funds for emergency repairs and reconstruction of the Interstate I-35 bridge located in Minneapolis, Minnesota, that collapsed on August 1, 2007, to waive the $100,000,000 limitation on emergency relief funds for those emergency repairs and reconstruction, and for other purposes.","Oberstar, James L. [Rep.-D-MN-8]",08/02/2007
H.R. 6989,"To designate the facility of the United States Postal Service located at 216 East Main Street in Atwood, Indiana, as the ""Lance Corporal David K. Fribley Post Office"".","Souder, Mark E. [Rep.-R-IN-3]",08/01/2007
H.R. 6990,"To designate the facility of the United States Postal Service located at 570 Broadway in Bayonne, New Jersey, as the ""Dennis P. Collins Post Office Building"".","Sires, Albio [Rep.-D-NJ-13]",08/01/2007
H.R. 6991,"To designate the facility of the United States Postal Service located at 950 West Trenton Avenue in Morrisville, Pennsylvania, as the ""Nate DeTample Post Office Building"".","Murphy, Patrick J. [Rep.-D-PA-8]",08/01/2007
H.R. 6992,"To designate the facility of the United States Postal Service located at Highway 49 South in Piney Woods, Mississippi, as the ""Laurence C. and Grace M. Jones Post Office Building"".","Pickering, Charles W. ""Chip"" [Rep.-R-MS-3]",07/31/2007
H.R. 6993,National Infantry Museum and Soldier Center Commemorative Coin Act,"Westmoreland, Lynn A. [Rep.-R-GA-3]",07/30/2007
H.R. 6994,"Department of Defense Appropriations Act, 2008","Murtha, John P. [Rep.-D-PA-12]",07/30/2007
H.R. 6995,Housing and Economic Recovery Act of 2008,"Pelosi, Nancy [Rep.-D-CA-8]",07/30/2007
H.R. 6996,"To designate a portion of Interstate Route 395 located in Baltimore, Maryland, as ""Cal Ripken Way"".","Sarbanes, John P. [Rep.-D-MD-3]",07/27/2007
H.R. 6997,"To provide for an additional temporary extension of programs under the Small Business Act and the Small Business Investment Act of 1958 through December 15, 2007, and for other purposes.","Velazquez, Nydia M. [Rep.-D-NY-12]",07/27/2007
H.R. 6998,"To designate the facility of the United States Postal Service located at 20 Sussex Street in Port Jervis, New York, as the ""E. Arthur Gray Post Office Building"".","Hall, John J. [Rep.-D-NY-19]",07/26/2007
H.R. 6999,Local Preparedness Acquisition Act,"Towns, Edolphus [Rep.-D-NY-10]",07/25/2007
H.R. 7000,"To designate the facility of the United States Postal Service located at 805 Main Street in Ferdinand, Indiana, as the ""Staff Sergeant David L. Nord Post Office"".","Hill, Baron P. [Rep.-D-IN-9]",07/19/2007
H.R. 7001,Federal Protective Service Guard Contracting Reform Act of 2008,"Norton, Eleanor Holmes [Del.-D-DC-At Large]",07/17/2007
H.R. 7002,"To designate the facility of the United States Postal Service located at 954 Wheeling Avenue in Cambridge, Ohio, as the ""John Herschel Glenn, Jr. Post Office Building"".","Space, Zachary T. [Rep.-D-OH-18]",07/16/2007
H.R. 7003,"To improve the use of a grant of a parcel of land to the State of Idaho for use as an agricultural college, and for other purposes.","Simpson, Michael K. [Rep.-R-ID-2]",07/11/2007
H.R. 7004,Pechanga Band of Luiseno Mission Indians Land Transfer Act of 2007,"Issa, Darrell E. [Rep.-R-CA-49]",07/10/2007
H.R. 7005,To authorize the Saginaw Chippewa Tribe of Indians of the State of Michigan to convey land and interests in land owned by the Tribe.,"Kildee, Dale E. [Rep.-D-MI-5]",07/10/2007
H.R. 7006,To authorize the Coquille Indian Tribe of the State of Oregon to convey land and interests in land owned by the Tribe.,"DeFazio, Peter A. [Rep.-D-OR-4]",06/26/2007
H.R. 7007,Michelle's Law,"Hodes, Paul W. [Rep.-D-NH-2]",06/25/2007
H.R. 7008,"To designate the facility of the United States Postal Service located at 326 South Main Street in Princeton, Illinois, as the ""Owen Lovejoy Princeton Post Office Building"".","Weller, Jerry [Rep.-R-IL-11]",06/21/2007
H.R. 7009,Native American Housing Assistance and Self-Determination Reauthorization Act of 2008,"Kildee, Dale E. [Rep.-D-MI-5]",06/20/2007
H.R. 7010,"To recognize the Navy UDT-SEAL Museum in Fort Pierce, Florida, as the official national museum of Navy SEALS and their predecessors.","Mahoney, Tim [Rep.-D-FL-16]",06/19/2007
H.R. 7011,"To designate the facility of the United States Postal Service located at 3 Quaker Ridge Road in New Rochelle, New York, as the ""Robert Merrill Postal Station"".","Lowey, Nita M. [Rep.-D-NY-18]",06/19/2007
H.R. 7012,"To designate the facility of the United States Postal Service located at 44 North Main Street in Hughesville, Pennsylvania, as the ""Master Sergeant Sean Michael Thomas Post Office"".","Carney, Christopher P. [Rep.-D-PA-10]",06/18/2007
H.R. 7013,"Consolidated Appropriations Act, 2008","Lowey, Nita M. [Rep.-D-NY-18]",06/18/2007
H.R. 7014,Terrorism Risk Insurance Program Reauthorization Act of 2007,"Capuano, Michael E. [Rep.-D-MA-8]",06/18/2007
H.R. 7015,"To designate the station of the United States Border Patrol located at 25762 Madison Avenue in Murrieta, California, as the ""Theodore L. Newton, Jr. and George F. Azrak Border Patrol Station"".","Issa, Darrell E. [Rep.-R-CA-49]",06/14/2007
H.R. 7016,"To designate the facility of the United States Postal Service located at 103 South Getty Street in Uvalde, Texas, as the ""Dolph S. Briscoe, Jr. Post Office Building"".","Rodriguez, Ciro D. [Rep.-D-TX-23]",06/12/2007
H.R. 7017,"To designate the United States courthouse located at 301 North Miami Avenue, Miami, Florida, as the ""C. Clyde Atkins United States Courthouse"".","Ros-Lehtinen, Ileana [Rep.-R-FL-18]",06/12/2007
H.R. 7018,College Cost Reduction and Access Act,"Miller, George [Rep.-D-CA-7]",06/12/2007
H.R. 7019,"To designate the facility of the United States Postal Service located at 202 South Dumont Avenue in Woonsocket, South Dakota, as the ""Eleanor McGovern Post Office Building"".","Herseth Sandlin, Stephanie [Rep.-D-SD-At Large]",06/11/2007
H.R. 7020,"Supplemental Appropriations Act, 2008","Edwards, Chet [Rep.-D-TX-17]",06/11/2007
H.R. 7021,NICS Improvement Amendments Act of 2007,"McCarthy, Carolyn [Rep.-D-NY-4]",06/11/2007
H.R. 7022,"Consolidated Security, Disaster Assistance, and Continuing Appropriations Act, 2009","Price, David E. [Rep.-D-NC-4]",06/08/2007
H.R. 7023,SSI Extension for Elderly and Disabled Refugees Act,"McDermott, Jim [Rep.-D-WA-7]",06/07/2007
H.R. 7024,"To name the Department of Veterans Affairs medical facility in Iron Mountain, Michigan, as the ""Oscar G. Johnson Department of Veterans Affairs Medical Facility"".","Stupak, Bart [Rep.-D-MI-1]",06/06/2007
H.R. 7025,"A Bill to designate the facility of the United States Postal Service located at 555 South 3rd Street Lobby in Memphis, Tennessee, as the ""Kenneth T. Whalum, Sr. Post Office Building"".","Cohen, Steve [Rep.-D-TN-9]",06/06/2007
H.R. 7026,"To designate the facility of the United States Postal Service located at 301 Boardwalk Drive in Fort Collins, Colorado, as the ""Dr. Karl E. Carson Post Office Building"".","Musgrave, Marilyn N. [Rep.-R-CO-4]",06/05/2007
H.R. 7027,"To designate the facility of the United States Postal Service located at 309 East Linn Street in Marshalltown, Iowa, as the ""Major Scott Nisely Post Office"".","Latham, Tom [Rep.-R-IA-4]",06/05/2007
H.R. 7028,"To designate the Department of Veterans Affairs Medical Center in Asheville, North Carolina, as the ""Charles George Department of Veterans Affairs Medical Center"".","Shuler, Heath [Rep.-D-NC-11]",05/24/2007
H.R. 7029,Protecting Our Children Comes First Act of 2007,"Lampson, Nick [Rep.-D-TX-22]",05/24/2007
H.R. 7030,"To designate the facility of the United States Postal Service located at 69 Montgomery Street in Jersey City, New Jersey, as the ""Frank J. Guarini Post Office Building"".","Sires, Albio [Rep.-D-NJ-13]",05/23/2007
H.R. 7031,To amend title XVIII of the Social Security Act to provide an exception to the 60-day limit on Medicare reciprocal billing arrangements between two physicians during the period in which one of the physicians is ordered to active duty as a member of a reserve component of the Armed Forces.,"Thompson, Mike [Rep.-D-CA-1]",05/22/2007
H.R. 7032,"Food, Conservation, and Energy Act of 2008","Peterson, Collin C. [Rep.-D-MN-7]",05/22/2007
H.R. 7033,"To designate the Department of Veterans Affairs outpatient clinic in Green Bay, Wisconsin, as the ""Milo C. Huempfner Department of Veterans Affairs Outpatient Clinic"".","Kagen, Steve [Rep.-D-WI-8]",05/21/2007
H.R. 7034,Native American $1 Coin Act,"Kildee, Dale E. [Rep.-D-MI-5]",05/17/2007
H.R. 7035,"To amend title 4, United States Code, to encourage the display of the flag of the United States on Father's Day.","Scott, David [Rep.-D-GA-13]",05/17/2007
H.R. 7036,"To designate the facility of the United States Postal Service located at 3916 Milgen Road in Columbus, Georgia, as the ""Frank G. Lumpkin, Jr. Post Office Building"".","Westmoreland, Lynn A. [Rep.-R-GA-3]",05/14/2007
H.R. 7037,"To designate the facility of the United States Postal Service located at 203 North Main Street in Vassar, Michigan, as the ""Corporal Christopher E. Esckelson Post Office Building"".","Kildee, Dale E. [Rep.-D-MI-5]",05/10/2007
H.R. 7038,"America Creating Opportunities to Meaningfully Promote Excellence in Technology, Education, and Science Act","Gordon, Bart [Rep.-D-TN-6]",05/10/2007
H.R. 7039,"To designate the Department of Veterans Affairs outpatient clinic in Wenatchee, Washington, as the Elwood ""Bud"" Link Department of Veterans Affairs Outpatient Clinic.","Hastings, Doc [Rep.-R-WA-4]",05/09/2007
H.R. 7040,"U.S. Troop Readiness, Veterans' Care, Katrina Recovery, and Iraq Accountability Appropriations Act, 2007","Obey, David R. [Rep.-D-WI-7]",05/08/2007
H.R. 7041,"To designate the facility of the United States Postal Service located at 408 West 6th Street in Chelsea, Oklahoma, as the ""Clem Rogers McSpadden Post Office Building"".","Boren, Dan [Rep.-D-OK-2]",05/03/2007
H.R. 7042,Railroad Safety Enhancement Act of 2008,"Oberstar, James L. [Rep.-D-MN-8]",05/01/2007
H.R. 7043,"To designate the facility of the United States Postal Service located at 701 Loyola Avenue in New Orleans, Louisiana, as the ""Louisiana Armed Services Veterans Post Office"".","Jefferson, William J. [Rep.-D-LA-2]",05/01/2007
H.R. 7044,To amend the District of Columbia Home Rule Act to conform the District charter to revisions made by the Council of the District of Columbia relating to public education.,"Norton, Eleanor Holmes [Del.-D-DC-At Large]",05/01/2007
H.R. 7045,"To designate the facility of the United States Postal Service located at 14536 State Route 136 in Cherry Fork, Ohio, as the ""Staff Sergeant Omer T. 'O.T.' Hawkins Post Office"".","Schmidt, Jean [Rep.-R-OH-2]",04/30/2007
H.R. 7046,"To designate the facility of the United States Postal Service located at 20805 State Route 125 in Blue Creek, Ohio, as the ""George B. Lewis Post Office Building"".","Schmidt, Jean [Rep.-R-OH-2]",04/30/2007
H.R. 7047,Civil Rights Act of 1964 Commemorative Coin Act,"Lewis, John [Rep.-D-GA-5]",04/25/2007
H.R. 7048,"To designate the facility of the United States Postal Service located at 11033 South State Street in Chicago, Illinois, as the ""Willye B. White Post Office Building"".","Jackson, Jesse L., Jr. [Rep.-D-IL-2]",04/25/2007
H.R. 7049,"To designate the Federal building and United States courthouse located at 100 East 8th Avenue in Pine Bluff, Arkansas, as the ""George Howard, Jr. Federal Building and United States Courthouse"".","Ross, Mike [Rep.-D-AR-4]",04/24/2007
H.R. 7050,"To extend the authorities of the Andean Trade Preference Act until February 29, 2008.","Rangel, Charles B. [Rep.-D-NY-15]",03/29/2007
H.R. 7051,"To designate the Department of Veterans Affairs Medical Center in Augusta, Georgia, as the ""Charlie Norwood Department of Veterans Affairs Medical Center"".","Kingston, Jack [Rep.-R-GA-1]",03/29/2007
H.R. 7052,Need-Based Educational Aid Act of 2008,"Delahunt, William D. [Rep.-D-MA-10]",03/29/2007
H.R. 7053,"To designate the facility of the United States Postal Service located at 601 Banyan Trail in Boca Raton, Florida, as the ""Leonard W. Herman Post Office"".","Wexler, Robert [Rep.-D-FL-19]",03/27/2007
H.R. 7054,To clarify the boundaries of Coastal Barrier Resources System Clam Pass Unit FL-64P.,"Mack, Connie [Rep.-R-FL-14]",03/27/2007
H.R. 7055,American National Red Cross Governance Modernization Act of 2007,"Lantos, Tom [Rep.-D-CA-12]",03/26/2007
H.R. 7056,Native American Home Ownership Opportunity Act of 2007,"Boren, Dan [Rep.-D-OK-2]",03/26/2007
H.R. 7057,Preservation Approval Process Improvement Act of 2007,"Bean, Melissa L. [Rep.-D-IL-8]",03/26/2007
H.R. 7058,"To designate the facility of the United States Postal Service located at 561 Kingsland Avenue in University City, Missouri, as the ""Harriett F. Woods Post Office Building"".","Carnahan, Russ [Rep.-D-MO-3]",03/21/2007
H.R. 7059,"To designate the Department of Veterans Affairs Outpatient Clinic in Hermitage, Pennsylvania, as the Michael A. Marzano Department of Veterans Affairs Outpatient Clinic.","English, Phil [Rep.-R-PA-3]",03/20/2007
H.R. 7060,Second Chance Act of 2007,"Davis, Danny K. [Rep.-D-IL-7]",03/20/2007
H.R. 7061,Caroline Pryce Walker Conquer Childhood Cancer Act of 2008,"Pryce, Deborah [Rep.-R-OH-15]",03/15/2007
H.R. 7062,Comprehensive Tuberculosis Elimination Act of 2008,"Green, Gene [Rep.-D-TX-29]",03/15/2007
H.R. 7063,Water Resources Development Act of 2007,"Oberstar, James L. [Rep.-D-MN-8]",03/13/2007
H.R. 7064,"To designate the facility of the United States Postal Service located at 896 Pittsburgh Street in Springdale, Pennsylvania, as the ""Rachel Carson Post Office Building"".","Altmire, Jason [Rep.-D-PA-4]",03/09/2007
H.R. 7065,Improving Head Start for School Readiness Act of 2007,"Kildee, Dale E. [Rep.-D-MI-5]",03/09/2007
H.R. 7066,"To designate the facility of the United States Postal Service located at 4551 East 52nd Street in Odessa, Texas, as the ""Staff Sergeant Marvin ""Rex"" Young Post Office Building"".","Conaway, K. Michael [Rep.-R-TX-11]",03/09/2007
H.R. 7067,"A bill to provide authority for the Federal Government to purchase and insure certain types of troubled assets for the purposes of providing stability to and preventing disruption in the economy and financial system and protecting taxpayers, to amend the Internal Revenue Code of 1986 to provide incentives for energy production and conservation, to extend certain expiring provisions, to provide individual income tax relief, and for other purposes.","Kennedy, Patrick J. [Rep.-D-RI-1]",03/09/2007
H.R. 7068,"To designate the facility of the United States Postal Service located at 320 South Lecanto Highway in Lecanto, Florida, as the ""Sergeant Dennis J. Flanagan Lecanto Post Office Building"".","Brown-Waite, Ginny [Rep.-R-FL-5]",03/08/2007
H.R. 7069,"To designate the facility of the United States Postal Service located at 118 Minner Street in Bakersfield, California, as the ""Buck Owens Post Office"".","McCarthy, Kevin [Rep.-R-CA-22]",03/07/2007
H.R. 7070,Health Care Safety Net Act of 2008,"Green, Gene [Rep.-D-TX-29]",03/06/2007
H.R. 7071,"To designate the facility of the United States Postal Service located at 508 East Main Street in Seneca, South Carolina, as the ""S/Sgt Lewis G. Watkins Post Office Building"".","Barrett, J. Gresham [Rep.-R-SC-3]",03/06/2007
H.R. 7072,Veterans' Compensation Cost-of-Living Adjustment Act of 2007,"Hall, John J. [Rep.-D-NY-19]",03/01/2007
H.R. 7073,"To designate the facility of the United States Postal Service located at 6301 Highway 58 in Harrison, Tennessee, as the ""Claude Ramsey Post Office"".","Wamp, Zach [Rep.-R-TN-3]",03/01/2007
H.R. 7074,K.T. Safety Act of 2007,"Schakowsky, Janice D. [Rep.-D-IL-9]",02/27/2007
H.R. 7075,Drug Endangered Children Act of 2007,"Cardoza, Dennis A. [Rep.-D-CA-18]",02/27/2007
H.R. 7076,SAFETEA-LU Technical Corrections Act of 2008,"Oberstar, James L. [Rep.-D-MN-8]",02/27/2007
H.R. 7077,Breast Cancer and Environmental Research Act of 2008,"Lowey, Nita M. [Rep.-D-NY-18]",02/16/2007
H.R. 7078,National Breast and Cervical Cancer Early Detection Program Reauthorization Act of 2007,"Baldwin, Tammy [Rep.-D-WI-2]",02/16/2007
H.R. 7079,Judicial Disclosure Responsibility Act,"Conyers, John, Jr. [Rep.-D-MI-14]",02/16/2007
H.R. 7080,"To provide for the construction, operation, and maintenance of an arterial road in St. Louis County, Missouri.","Carnahan, Russ [Rep.-D-MO-3]",02/16/2007
H.R. 7081,To extend the District of Columbia College Access Act of 1999.,"Davis, Tom [Rep.-R-VA-11]",02/16/2007
H.R. 7082,Purple Heart Family Equity Act of 2007,"Davis, Susan A. [Rep.-D-CA-53]",02/16/2007
H.R. 7083,"To designate the Federal building located at 210 Walnut Street in Des Moines, Iowa, as the ""Neal Smith Federal Building"".","Boswell, Leonard L. [Rep.-D-IA-3]",02/14/2007
H.R. 7084,"To designate the United States customhouse building located at 31 Gonzalez Clemente Avenue in Mayaguez, Puerto Rico, as the ""Rafael Martinez Nadal United States Customhouse Building"".","Fortuno, Luis G. [Resident Commissioner-R-PR-At Large]",02/13/2007
H.R. 7085,To amend the Foreign Affairs Reform and Restructuring Act of 1998 to reauthorize the United States Advisory Commission on Public Diplomacy.,"Watson, Diane E. [Rep.-D-CA-33]",02/12/2007
H.R. 7086,To amend Public Law 106-348 to extend the authorization for establishing a memorial in the District of Columbia or its environs to honor veterans who became disabled while serving in the Armed Forces of the United States.,"Hare, Phil [Rep.-D-IL-17]",02/12/2007
H.R. 7087,"To designate the facility of the United States Postal Service located at 5757 Tilton Avenue in Riverside, California, as the ""Lieutenant Todd Jason Bryant Post Office"".","Calvert, Ken [Rep.-R-CA-44]",02/12/2007
H.R. 7088,"To designate the facility of the United States Postal Service located at 365 West 125th Street in New York, New York, as the ""Percy Sutton Post Office Building"".","Rangel, Charles B. [Rep.-D-NY-15]",02/08/2007
H.R. 7089,Inspector General Reform Act of 2008,"Cooper, Jim [Rep.-D-TN-5]",02/08/2007
H.R. 7090,Emmett Till Unsolved Civil Rights Crime Act of 2007,"Lewis, John [Rep.-D-GA-5]",02/08/2007
H.R. 7091,Children's Gasoline Burn Prevention Act,"Moore, Dennis [Rep.-D-KS-3]",02/05/2007
H.R. 7092,Maritime Pollution Prevention Act of 2008,"Oberstar, James L. [Rep.-D-MN-8]",02/05/2007
H.R. 7093,Dr. James Allen Veteran Vision Equity Act of 2007,"Baldwin, Tammy [Rep.-D-WI-2]",02/05/2007
H.R. 781,"To redesignate Lock and Dam No. 5 of the McClellan-Kerr Arkansas River Navigation System near Redfield, Arkansas, authorized by the Rivers and Harbors Act approved July 24, 1946, as the ""Colonel Charles D. Maynard Lock and Dam"".","Ross, Mike [Rep.-D-AR-4]",01/31/2007
H.R. 753,"To redesignate the Federal building located at 167 North Main Street in Memphis, Tennessee, as the ""Clifford Davis and Odell Horton Federal Building"".","Cohen, Steve [Rep.-D-TN-9]",01/31/2007
H.R. 742,Antitrust Modernization Commission Extension Act of 2007,"Conyers, John, Jr. [Rep.-D-MI-14]",01/31/2007
H.R. 727,Trauma Care Systems Planning and Development Act of 2007,"Green, Gene [Rep.-D-TX-29]",01/30/2007
H.R. 710,Charlie W. Norwood Living Organ Donation Act,"Norwood, Charles W. [Rep.-R-GA-10]",01/29/2007
H.R. 692,Army Specialist Joseph P. Micks Federal Flag Code Amendment Act of 2007,"Stupak, Bart [Rep.-D-MI-1]",01/24/2007
H.R. 660,Court Security Improvement Act of 2007,"Conyers, John, Jr. [Rep.-D-MI-14]",01/24/2007
H.R. 634,American Veterans Disabled for Life Commemorative Coin Act,"Moore, Dennis [Rep.-D-KS-3]",01/23/2007
H.R. 625,"To designate the facility of the United States Postal Service located at 4230 Maine Avenue in Baldwin Park, California, as the ""Atanacio Haro-Marin Post Office"".","Solis, Hilda L. [Rep.-D-CA-32]",01/22/2007
H.R. 584,To designate the Federal building located at 400 Maryland Avenue Southwest in the District of Columbia as the 'Lyndon Baines Johnson Department of Education Building'.,"Green, Gene [Rep.-D-TX-29]",01/19/2007
H.R. 577,"To designate the facility of the United States Postal Service located at 3903 South Congress Avenue in Austin, Texas, as the ""Sergeant Henry Ybarra III Post Office Building"".","Doggett, Lloyd [Rep.-D-TX-25]",01/19/2007
H.R. 556,Foreign Investment and National Security Act of 2007,"Maloney, Carolyn B. [Rep.-D-NY-14]",01/18/2007
H.R. 544,"To designate the United States courthouse at South Federal Place in Santa Fe, New Mexico, as the ""Santiago E. Campos United States Courthouse"".","Udall, Tom [Rep.-D-NM-3]",01/17/2007
H.R. 521,"To designate the facility of the United States Postal Service located at 2633 11th Street in Rock Island, Illinois, as the ""Lane Evans Post Office Building"".","Hare, Phil [Rep.-D-IL-17]",01/17/2007
H.R. 514,"To designate the facility of the United States Postal Service located at 16150 Aviation Loop Drive in Brooksville, Florida, as the ""Sergeant Lea Robert Mills Brooksville Aviation Branch Post Office"".","Brown-Waite, Ginny [Rep.-R-FL-5]",01/17/2007
H.R. 493,Genetic Information Nondiscrimination Act of 2008,"Slaughter, Louise McIntosh [Rep.-D-NY-28]",01/16/2007
H.R. 475,House Page Board Revision Act of 2007,"Kildee, Dale E. [Rep.-D-MI-5]",01/16/2007
H.R. 465,Asian Elephant Conservation Reauthorization Act of 2007,"Saxton, Jim [Rep.-R-NJ-3]",01/12/2007
H.R. 437,"To designate the facility of the United States Postal Service located at 500 West Eisenhower Street in Rio Grande City, Texas, as the ""Lino Perez, Jr. Post Office"".","Cuellar, Henry [Rep.-D-TX-28]",01/12/2007
H.R. 434,"An act to provide for an additional temporary extension of programs under the Small Business Act and the Small business Investment Act of 1958 through July 31, 2007, and for other purposes.","Chabot, Steve [Rep.-R-OH-1]",01/12/2007
H.R. 433,"To designate the facility of the United States Postal Service located at 1700 Main Street in Little Rock, Arkansas, as the ""Scipio A. Jones Post Office Building"".","Snyder, Vic [Rep.-D-AR-2]",01/12/2007
H.R. 430,"To designate the United States bankruptcy courthouse located at 271 Cadman Plaza East in Brooklyn, New York, as the 'Conrad B. Duberstein United States Bankruptcy Courthouse'.","Towns, Edolphus [Rep.-D-NY-10]",01/11/2007
H.R. 414,"To designate the facility of the United States Postal Service located at 60 Calle McKinley, West in Mayaguez, Puerto Rico, as the ""Miguel Angel Garcia Mendez Post Office Building"".","Fortuno, Luis G. [Resident Commissioner-R-PR-At Large]",01/11/2007
H.R. 366,"To designate the Department of Veterans Affairs Outpatient Clinic in Tulsa, Oklahoma, as the ""Ernest Childers Department of Veterans Affairs Outpatient Clinic"".","Sullivan, John [Rep.-R-OK-1]",01/10/2007
